LogDate,IPAddress,Chicken,CSharp,Guile,Java,Mzscheme,Ocaml,Perl,Php,Pike,Python,Ruby,Sexp,Tcl,Xml,SpareLang1,SpareLang2,SpareLang3,OtherLang,NamedLanguage,BSD,HPUX,Linux,MacOSX,Solaris,Windows,SpareOS1,SpareOS2,SpareOS3,OtherOS,NamedOS
2014/04/01 00:19,112.218.165.179,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,
2014/04/01 00:31,128.111.83.80,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,
2014/04/01 00:38,130.126.255.151,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,
2014/04/01 01:01,130.126.255.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/04/01 01:13,220.202.153.48,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
2014/04/01 01:38,50.73.13.49,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,
2014/04/01 01:55,112.218.165.179,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,
2014/04/01 02:58,187.59.159.31,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,
2014/04/01 03:28,108.56.164.154,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,
2014/04/01 04:07,221.226.97.63,,,,1,,,,,,1,,,,,,,,,,,,1,,,1,,,,,
2014/04/01 04:45,165.82.212.44,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,
2014/04/01 04:53,178.83.230.19,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
2014/04/01 05:12,157.82.226.85,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,
2014/04/01 05:12,221.116.243.106,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2014/04/01 05:28,82.243.205.246,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,
2014/04/01 05:53,15.219.201.74,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,
2014/04/01 05:54,15.219.201.74,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,
2014/04/01 06:20,141.19.146.166,,1,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,
2014/04/01 06:57,152.106.99.20,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
2014/04/01 06:59,149.132.190.165,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
2014/04/01 07:05,87.251.179.78,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
2014/04/01 07:24,193.169.205.171,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,
2014/04/01 07:56,46.39.46.1,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,
2014/04/01 08:00,218.108.50.2,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,
2014/04/01 08:06,81.28.88.126,,1,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,
2014/04/01 08:15,5.254.185.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/04/01 08:16,118.163.87.76,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2014/04/01 08:26,112.171.36.101,,,,,,,,,,,,,,,,,,,c++,,,,,,1,,,,,
2014/04/01 08:31,89.72.176.130,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,
2014/04/01 08:31,149.235.254.204,,1,,1,,,,,,1,,,,,,,,,,,1,1,,1,1,,,,,AIX
2014/04/01 08:34,194.154.22.37,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,
2014/04/01 08:51,59.108.36.50,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,
2014/04/01 08:53,203.197.168.166,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,
2014/04/01 08:56,117.39.29.8,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2014/04/01 08:58,5.254.185.50,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2014/04/01 09:00,62.159.102.26,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,
2014/04/01 09:16,131.159.252.233,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,
2014/04/01 09:39,82.244.44.168,,,,1,,,,,,1,,,,,,,,,,,,1,1,,1,,,,,
2014/04/01 09:54,192.102.204.37,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
2014/04/01 10:08,115.111.18.189,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
2014/04/01 10:39,131.169.87.204,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,
2014/04/01 10:40,163.156.213.193,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/04/01 11:05,94.193.185.99,,,,,,,,,,1,,,,,,,,,,,,1,1,,1,,,,,
2014/04/01 11:22,141.83.112.152,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,
2014/04/01 11:24,87.185.135.244,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,
2014/04/01 11:38,97.102.14.204,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2014/04/01 11:41,160.75.85.156,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
2014/04/01 11:41,177.35.193.1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,
2014/04/01 11:48,194.12.229.49,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
2014/04/01 11:53,82.234.212.49,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,
2014/04/01 12:03,95.254.91.72,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
